5852	4) Why is BN abbreviated but PVA not? It recommended not to abbreviate BN in the title to facilitate finding the article through search engines.	{"25, 28, TRIGGER","71, 86, CONTENT","3, 7, TRIGGER","10, 36, CONTENT","53, 70, ACTION","81, 86, LOCATION"}
5853	5) The purity/grade should be mentioned  for all materials, chemicals and solvents used in the work, including BN and PVA. These can be mentioned  under section 2.1 on Materials.	{"153, 164, LOCATION","29, 39, ACTION","20, 26, MODAL","168, 177, LOCATION","153, 164, LOCATION","20, 27, MODAL","30, 41, ACTION","6, 19, CONTENT","41, 121, CONTENT","136, 145, ACTION"}
5854	6) Line 85 should start as “2.2 Preparation of…”	{"3, 10, LOCATION","3, 10, LOCATION","11, 18, MODAL","18, 24, ACTION","11, 17, MODAL","18, 23, ACTION","27, 48, CONTENT"}
5855	7) The manuscript starts in medias res, and the authors should add a few sentences on composite films stressing  their versatility and widespread application (nanopapers, DOI:10.1039/C8GC00590G; electrodialysis, DOI:10.1039/C8TA09160A; nanofiltration, DOI:10.1021/acsanm.8b01563; packaging, DOI:10.3390/ma11112264) before they narrow the scope own to BN/polymer films.	{"113, 314, CONTENT","315, 321, TRIGGER","322, 367, CONTENT","7, 18, LOCATION","56, 63, MODAL","63, 67, ACTION","67, 101, CONTENT","102, 111, ACTION","62, 111, ACTION","7, 17, LOCATION"}
5857	9) The agricultural waste utilization mentioned in line 70 are about two decades old, the authors should include some recent diverse examples (DOI:10.1039/C8TA05308A; DOI:10.1039/C7GC00912G).	{"98, 105, MODAL","3, 47, CONTENT","51, 58, LOCATION","98, 112, ACTION","51, 58, LOCATION","69, 84, ACTION","113, 190, CONTENT","105, 113, ACTION"}
5858	10) The precise amount of washing solvent per mass of product should be included  in the description of the methods under section 2.	{"122, 131, LOCATION","71, 80, ACTION","62, 68, MODAL","122, 131, LOCATION","62, 69, MODAL","89, 115, LOCATION","4, 61, CONTENT","72, 82, ACTION"}
5859	11) The accuracy of the methods should be taken into account when reporting  data. Significant digits should be considered , e.g. the % decimal places seem to be inappropriate.	{"42, 60, ACTION","38, 75, ACTION","32, 38, MODAL","61, 65, TRIGGER","32, 39, MODAL","83, 101, CONTENT","130, 175, CONTENT","112, 123, ACTION","66, 81, LOCATION","102, 109, MODAL","4, 31, CONTENT","61, 66, MODAL"}
5860	12) Avoid using the ambiguous x/y formatting for units, and follow the IUPAC recommendation which is x y-1 throughout the manuscript, including figures and tables.	{"122, 132, LOCATION","71, 106, CONTENT","20, 54, CONTENT","156, 162, LOCATION","144, 152, LOCATION","122, 132, LOCATION","60, 67, ACTION","92, 97, TRIGGER","4, 9, ACTION"}
5861	13) The conclusion section should include the main research findings in quantitative statements, and on the contrary the abstract should not have quantitative data showing  the actual results.	{"27, 41, ACTION","8, 18, LOCATION","101, 116, TRIGGER","34, 42, ACTION","27, 34, MODAL","130, 137, MODAL","8, 26, LOCATION","42, 95, CONTENT","137, 145, ACTION","121, 130, LOCATION","146, 191, CONTENT"}
5862	14) Some critical comments about the proposed methodology should be mentioned  at the end of the manuscript. What are the limitations and drawbacks of the methodology?	{"67, 77, ACTION","58, 64, MODAL","58, 65, MODAL","68, 79, ACTION","114, 166, CONTENT","97, 107, LOCATION","86, 107, LOCATION","4, 57, CONTENT","109, 114, TRIGGER","109, 113, TRIGGER"}
