6102	1. The review should have more critical comments, and give a fair account of both the advantages and disadvantages of the presented separations. Critical accounts should also be discussed (Current Opinion in Chemical Engineering 2011, 1, 77-83).	{"163, 169, MODAL","7, 13, LOCATION","14, 20, MODAL","145, 162, CONTENT","189, 243, CONTENT","178, 187, ACTION","54, 58, ACTION","21, 25, ACTION","26, 48, CONTENT","82, 143, CONTENT"}
6103	2. Bulk referencing should be avoided , e.g. [2-5], [14-23] etc. A review article is not the same as a compilation of literature. When multiple references are grouped together, it is difficult for the readers to digest the message and find the information they need.	{"20, 26, MODAL","3, 19, CONTENT","30, 37, ACTION","45, 59, CONTENT"}
6104	3. The authors should introduce MOF membranes from a broader perspective and mention their versatility in different separations and give examples such as oil/water separation (ACS Appl. Mater. Interfaces, 2018, 10, 17301-17308; J. Membr. Sci., 2018, 566, 268-277), organic solvent nanofiltration (J. Mater. Chem. A, 2014, 2, 9260-9271; J. Membr. Sci., 2016, 503, 166-176), xylene isomer separation (Inorganic Chemistry Communications, 2013, 30, 74-78), switchable separations (Nature Comm. 2018, 9, 3968).	{"32, 45, CONTENT","132, 136, ACTION","154, 504, CONTENT","85, 127, CONTENT","77, 84, ACTION","22, 31, ACTION","15, 21, MODAL"}
6105	4. A novel figure should be added  that compares the different ZIF membrane fabrication methodologies.	{"28, 33, ACTION","3, 17, CONTENT","49, 101, CONTENT","18, 24, MODAL"}
6106	5. A novel table should be added that compares the hydrocarbon separation performance of the ZIF membranes discussed  in the review.	{"125, 131, LOCATION","47, 106, CONTENT","3, 16, CONTENT","27, 32, ACTION","17, 23, MODAL"}
6107	6. Avoid using the ambiguous x/y formatting for units, and follow the IUPAC recommendation which is x y^-1 throughout the manuscript, including figures and text.	{"100, 106, CONTENT","66, 90, CONTENT","3, 8, ACTION","29, 53, CONTENT","122, 132, LOCATION","144, 151, LOCATION","156, 160, LOCATION","59, 65, ACTION"}
6108	7. In the review the authors should mention the use of software-assisted experimental design of membranes and membrane systems to encourage their use, which does not require extensive theoretical knowledge of the field and can be easily employed  by industrial professionals as well; and give some recent filtration examples from the membrane literature using design of experiments (DoE) optimization approach: ACS Catal., 2018, 8, 7430-7438; J. Membr. Sci., 2015, 493, 568-579. This will help to broaden the scope of the review.	{"36, 43, ACTION","29, 35, MODAL","10, 16, LOCATION","288, 292, ACTION","522, 528, LOCATION","298, 477, CONTENT","44, 126, CONTENT"}
6109	8. An elaborate discussion on the stability and limited number of studies should be given in the review.	{"83, 89, ACTION","30, 73, CONTENT","74, 80, MODAL","97, 103, LOCATION"}
6110	9. The recent https://doi.org/10.1002/ange.201708924 article presents a new approach for the fabrication of ZIF membranes for propylene/propane separation, which should be mentioned  in the review.	{"172, 181, ACTION","72, 154, CONTENT","162, 168, MODAL","3, 60, CONTENT","190, 196, LOCATION"}
6111	10. The“Adsorption (2018) 24:691” article should be acknowledged , it discussed the same material and separation but from a different approach. Similarly,“Chem. Mater., 2018, 30 (2), 447-455” also discussed the same material for a novel application, which should be briefly incorporated  into the introduction about the target materials.	{"42, 48, MODAL","52, 64, ACTION","4, 41, CONTENT","154, 191, CONTENT","256, 262, MODAL","274, 286, ACTION","297, 309, LOCATION"}
